band,bucket_size,is_hot
0,1,0
1,122,1
2,2,0
3,1,0
4,19,0
5,1,0
6,52,1
7,317,1
8,1,0
9,205,1
10,10,0
11,25,0
12,1,0
13,1,0
14,1,0
15,2,0
0,29,0
1,47,0
2,1,0
3,1,0
4,17,0
5,169,1
6,3,0
7,18,0
8,1,0
9,176,1
10,155,1
11,9,0
12,82,1
13,11,0
14,22,0
15,1,0
0,1,0
1,8,0
2,4,0
3,34,0
4,1,0
5,3,0
6,1,0
7,251,1
8,1,0
9,4,0
10,9,0
11,14,0
12,6,0
13,1,0
14,1,0
15,164,1
0,85,1
1,31,0
2,220,1
3,5,0
4,81,1
5,6,0
6,354,1
7,37,0
8,16,0
9,5,0
10,4,0
11,43,0
12,1,0
13,88,1
14,167,1
15,104,1
0,2,0
1,3,0
2,25,0
3,4,0
4,19,0
5,16,0
6,20,0
8,45,0
9,9,0
10,7,0
11,91,1
12,3,0
13,63,1
14,5,0
15,7,0
0,14,0
1,51,1
3,60,1
4,94,1
5,2,0
6,3,0
8,670,1
9,117,1
10,11,0
11,2,0
12,53,1
13,39,0
14,17,0
15,351,1
0,29,0
1,96,1
2,34,0
3,1,0
4,52,1
5,40,0
6,3,0
7,32,0
8,3,0
9,407,1
10,2,0
11,2462,1
12,527,1
13,32,0
14,23,0
15,148,1
0,63,1
1,25,0
2,3,0
3,3,0
4,4,0
5,513,1
6,5,0
7,3,0
8,1,0
9,6,0
12,35,0
13,15,0
14,3,0
15,236,1
0,30,0
1,181,1
2,1,0
3,299,1
4,221,1
5,2107,1
6,396,1
7,10,0
8,402,1
9,1,0
10,123,1
11,417,1
12,316,1
13,1,0
14,3,0
15,17,0
0,466,1
1,1,0
2,17,0
3,1,0
4,4,0
6,111,1
7,175,1
8,10,0
9,1745,1
10,33,0
11,44,0
12,3,0
13,1,0
14,8,0
15,224,1
0,1,0
1,355,1
2,1,0
3,33,0
4,1,0
5,1,0
6,3,0
7,17,0
9,1,0
10,17,0
11,71,1
12,1,0
13,1,0
14,1,0
15,1,0
0,264,1
1,4,0
2,183,1
3,2,0
4,56,1
5,2,0
6,1271,1
7,82,1
8,148,1
10,179,1
11,151,1
12,31,0
13,181,1
14,100,1
0,202,1
1,14,0
2,3,0
3,1,0
4,10,0
5,6,0
6,34,0
7,32,0
8,37,0
10,1,0
11,9,0
12,1,0
13,1,0
14,1,0
15,1,0
0,261,1
1,20,0
2,306,1
3,63,1
4,525,1
5,260,1
6,8,0
7,114,1
8,23,0
9,120,1
10,12,0
11,191,1
12,3,0
13,15,0
14,4,0
15,39,0
0,5,0
1,6,0
2,17,0
3,9,0
4,141,1
5,5,0
6,2,0
7,3,0
8,31,0
9,227,1
10,3,0
12,44,0
13,6,0
14,3,0
15,13,0
0,8,0
1,322,1
2,1,0
3,1,0
4,41,0
5,36,0
6,110,1
7,102,1
8,1,0
9,1,0
10,47,0
12,84,1
13,1,0
14,21,0
15,1,0
0,257,1
1,3,0
2,11,0
3,19,0
4,13,0
8,10,0
9,124,1
10,15,0
11,25,0
12,3,0
13,11,0
14,2,0
15,163,1
0,4,0
2,10,0
3,7,0
4,7,0
5,1,0
6,20,0
7,273,1
8,88,1
9,226,1
10,21,0
11,1,0
13,100,1
14,7,0
15,47,0
1,48,0
3,1,0
4,33,0
5,344,1
8,1,0
11,321,1
12,1,0
13,66,1
14,487,1
15,363,1
0,92,1
1,2,0
2,15,0
3,39,0
4,119,1
5,1,0
6,1,0
7,333,1
8,1,0
10,12,0
11,310,1
12,1,0
13,11,0
14,120,1
15,64,1
1,8,0
2,5,0
3,75,1
4,6,0
5,171,1
6,12,0
7,1,0
8,97,1
9,13,0
10,1,0
11,113,1
12,19,0
13,3,0
0,451,1
1,1,0
2,119,1
3,1,0
5,2,0
7,1,0
8,1,0
9,26,0
10,41,0
11,30,0
13,1,0
14,6,0
15,113,1
0,21,0
1,39,0
2,14,0
3,1,0
4,66,1
6,58,1
7,1,0
8,76,1
9,143,1
10,19,0
11,214,1
12,59,1
13,9,0
14,158,1
15,18,0
0,4,0
1,20,0
2,3,0
3,2,0
5,1,0
6,2,0
7,47,0
9,38,0
10,7,0
11,17,0
12,1,0
13,2,0
14,2,0
15,2,0
0,215,1
1,75,1
2,1,0
3,316,1
4,22,0
5,3,0
6,87,1
7,2,0
8,1,0
10,2,0
11,1077,1
13,197,1
14,1,0
15,24,0
0,189,1
1,123,1
2,59,1
3,4,0
4,18,0
6,115,1
7,10,0
8,97,1
9,72,1
10,2,0
12,74,1
13,5,0
14,6,0
15,30,0
1,88,1
2,1,0
7,255,1
8,737,1
9,84,1
10,1,0
11,138,1
13,139,1
14,47,0
0,1,0
1,1,0
2,4,0
4,1,0
5,5,0
6,1,0
7,1,0
8,2,0
10,8,0
12,14,0
13,122,1
14,20,0
15,1,0
0,48,0
1,1,0
2,53,1
3,10,0
4,73,1
5,36,0
7,38,0
10,17,0
13,2,0
14,1,0
15,8,0
0,3,0
1,212,1
2,1,0
3,8,0
4,1,0
5,129,1
6,24,0
7,30,0
8,1,0
9,1,0
10,21,0
12,1,0
13,1,0
15,22,0
1,41,0
2,1,0
3,7,0
4,2,0
5,48,0
6,1,0
7,1,0
8,12,0
10,19,0
11,167,1
12,5,0
13,4,0
14,2,0
0,1,0
1,16,0
2,27,0
3,1,0
4,1,0
5,2,0
6,20,0
7,1,0
8,9,0
9,1,0
10,55,1
11,31,0
12,3,0
13,1,0
14,3,0
15,6,0
0,2,0
1,2,0
2,10,0
3,18,0
4,18,0
6,9,0
7,51,1
9,39,0
10,2,0
12,2,0
13,3,0
14,4,0
15,21,0
0,12,0
1,6,0
2,70,1
3,24,0
4,52,1
6,694,1
7,5,0
8,228,1
9,10,0
10,7,0
11,9,0
12,25,0
14,5,0
15,5,0
0,39,0
1,1,0
2,2,0
3,4,0
4,7,0
5,1,0
6,24,0
8,8,0
9,1,0
10,1,0
12,1,0
13,1,0
14,1,0
15,10,0
0,29,0
2,19,0
3,43,0
4,3,0
5,4,0
6,18,0
7,10,0
8,59,1
10,15,0
11,60,1
12,90,1
13,17,0
14,1,0
15,121,1
1,1,0
2,2,0
3,3,0
4,4,0
5,10,0
6,79,1
7,245,1
8,354,1
10,23,0
11,29,0
12,35,0
13,2,0
14,11,0
15,17,0
1,17,0
2,1,0
4,9,0
5,68,1
6,24,0
8,12,0
9,59,1
12,352,1
13,1,0
15,27,0
0,8,0
1,198,1
2,2,0
3,3,0
4,192,1
5,2,0
6,2,0
8,2,0
9,2,0
10,25,0
12,3,0
13,2,0
14,2,0
2,2,0
4,19,0
6,64,1
7,3,0
8,17,0
10,20,0
14,22,0
15,2,0
0,5,0
1,68,1
2,35,0
3,32,0
4,29,0
5,1,0
6,11,0
7,2,0
8,8,0
10,76,1
11,139,1
12,246,1
13,52,1
14,2,0
0,54,1
1,9,0
2,4,0
3,79,1
4,11,0
7,8,0
8,281,1
11,74,1
12,41,0
13,238,1
14,1,0
15,184,1
0,89,1
1,76,1
3,24,0
4,3,0
5,3,0
12,27,0
14,1,0
0,14,0
1,17,0
2,54,1
3,1,0
4,2,0
5,1,0
6,12,0
7,1,0
9,176,1
10,7,0
11,17,0
12,12,0
13,1,0
14,1,0
15,138,1
1,1,0
2,152,1
3,1,0
4,8,0
5,46,0
7,4,0
11,1,0
12,78,1
13,5,0
14,1,0
0,49,0
2,2,0
3,2,0
4,13,0
5,14,0
6,1,0
8,1,0
9,4,0
10,13,0
11,1,0
12,55,1
13,1,0
14,159,1
15,40,0
0,9,0
1,36,0
2,1,0
3,12,0
4,2,0
6,38,0
7,1,0
8,106,1
9,12,0
10,50,0
13,38,0
14,1,0
15,106,1
0,161,1
2,44,0
5,124,1
6,33,0
7,1,0
8,13,0
10,4,0
13,12,0
14,4,0
15,1,0
0,19,0
3,37,0
5,34,0
6,28,0
7,10,0
8,68,1
9,1,0
10,1,0
12,278,1
13,46,0
14,48,0
0,218,1
1,7,0
2,2,0
3,57,1
5,13,0
6,4,0
8,1,0
9,10,0
10,1,0
12,1,0
13,1,0
14,2,0
15,4,0
0,7,0
1,42,0
2,2,0
3,5,0
4,30,0
5,27,0
6,149,1
7,33,0
9,2,0
10,10,0
13,4,0
14,30,0
0,12,0
1,17,0
2,17,0
3,2,0
4,94,1
5,1,0
6,105,1
10,10,0
13,10,0
14,26,0
0,41,0
2,1,0
3,1,0
4,85,1
7,222,1
8,88,1
9,49,0
10,1,0
11,755,1
12,19,0
13,5,0
14,5,0
15,4,0
0,147,1
1,6,0
2,38,0
3,70,1
5,84,1
6,196,1
7,8,0
8,104,1
10,178,1
11,16,0
12,4,0
13,42,0
14,114,1
15,184,1
0,2,0
1,2,0
2,10,0
3,2,0
4,3,0
5,2,0
9,3,0
10,1,0
12,2,0
13,39,0
14,2,0
1,27,0
2,3,0
3,12,0
4,4,0
6,1,0
8,1,0
9,130,1
10,1,0
12,3,0
14,1,0
