jaccard_similarity,survival_probability
0.0,0.0
0.01,1.5999998881355282e-07
0.02,2.5599969284417767e-06
0.03,1.2959921267707841e-05
0.04,4.0959213577163034e-05
0.05,9.999531263649164e-05
0.06,0.00020733984582610443
0.07,0.00038409083013790646
0.08,0.000655158711885484
0.09,0.001049243597475602
0.1,0.00159880055981787
0.11,0.0023399894501126006
0.12,0.0033126052093008784
0.13,0.0045599842661741
0.14,0.006128882240316158
0.15,0.008069317851049918
0.16,0.010434377683231522
0.17,0.013279976295299312
0.18,0.016664566094020006
0.19,0.02064879146660903
0.2,0.025295081878116465
0.21,0.03066717903581817
0.22,0.03682959381907469
0.23,0.04384698949858712
0.24,0.05178348884809114
0.25,0.06070190410618359
0.26,0.0706628903938602
0.27,0.08172402514614219
0.28,0.09393881837674778
0.29,0.10735566115604178
0.3,0.12201672252375917
0.31,0.1379568081435245
0.32,0.15520219728226214
0.33,0.1737694780908401
0.34,0.19366440457770606
0.35,0.21488080198786075
0.36,0.23739955038556326
0.37,0.26118767893008066
0.38,0.2861976054503942
0.39,0.31236655727358686
0.4,0.33961620964127603
0.41,0.36785257725782783
0.42,0.3969661923625304
0.43,0.42683259903802095
0.44,0.4573131881281296
0.45,0.4882563900620899
0.46,0.519499234058479
0.47,0.5508692716857768
0.48,0.5821868507591859
0.49,0.6132677123375208
0.5,0.6439258695482072
0.51,0.6739767126292037
0.52,0.703240270561811
0.53,0.731544546701299
0.54,0.7587288346869295
0.55,0.7846469124570412
0.56,0.8091700072237571
0.57,0.8321894235228072
0.58,0.8536187305632866
0.59,0.8733954144796592
0.6,0.8914819158923943
0.61,0.9078659932539848
0.62,0.9225603772712696
0.63,0.9356017103452942
0.64,0.9470487961682147
0.65,0.9569802167317568
0.66,0.9654914051330905
0.67,0.9726912906531556
0.68,0.9786986555573867
0.69,0.9836383590147262
0.7,0.9876375908747848
0.71,0.9908223157353797
0.72,0.993314055405581
0.73,0.9952271359502295
0.74,0.9966664952611899
0.75,0.997726110616592
0.76,0.9984880657197032
0.77,0.9990222364699459
0.78,0.9993865375835419
0.79,0.9996276413277222
0.8,0.9997820576742885
0.81,0.9998774538341496
0.82,0.9999340909834455
0.83,0.9999662663644284
0.84,0.99998366798056
0.85,0.9999925739907028
0.86,0.9999968562640443
0.87,0.9999987739391446
0.88,0.9999995652395938
0.89,0.9999998621306695
0.9,0.999999961725034
0.91,0.9999999909549034
0.92,0.99999999824825
0.93,0.9999999997363824
0.94,0.9999999999714855
0.95,0.9999999999980355
0.96,0.9999999999999296
0.97,0.9999999999999991
0.98,1.0
0.99,1.0
1.0,1.0
